nu dvA wA eA rpA iA dvB wB eB rpB iB
33.5 2108.74401 211.908394 0.7 7966.2 64 5273.34443 355.091606 0.7 7966.2 64
34 2092.23676 212.204285 0.7 7966.2 64 5298.4754 355.795715 0.7 7966.2 64
34.5 2075.85392 212.497761 0.7 7966.2 64 5323.48806 356.502239 0.7 7966.2 64
35 2059.59488 212.788845 0.7 7966.2 64 5348.37866 357.211155 0.7 7966.2 64
35.5 2043.459 213.077557 0.7 7966.2 64 5373.14345 357.922443 0.7 7966.2 64
36 2027.44563 213.363919 0.7 7966.2 64 5397.77868 358.636081 0.7 7966.2 64
36.5 2011.55413 213.647953 0.7 7966.2 64 5422.28061 359.352047 0.7 7966.2 64
37 1995.78382 213.92968 0.7 7966.2 64 5446.64552 0.0703196757 0.7 7966.2 64
37.5 1980.13404 214.209122 0.7 7966.2 64 5470.86969 0.790877665 0.7 7966.2 64
38 1964.6041 214.486301 0.7 7966.2 64 5494.94942 1.51369943 0.7 7966.2 64
38.5 1949.19332 214.761236 0.7 7966.2 64 5518.881 2.23876354 0.7 7966.2 64
39 1933.90098 215.033951 0.7 7966.2 64 5542.66076 2.96604859 0.7 7966.2 64
39.5 1918.7264 215.304467 0.7 7966.2 64 5566.28503 3.69553325 0.7 7966.2 64
40 1903.66885 215.572804 0.7 7966.2 64 5589.75016 4.42719621 0.7 7966.2 64
40.5 1888.72762 215.838984 0.7 7966.2 64 5613.0525 5.16101624 0.7 7966.2 64
41 1873.90199 216.103028 0.7 7966.2 64 5636.18843 5.89697216 0.7 7966.2 64
41.5 1859.19122 216.364957 0.7 7966.2 64 5659.15434 6.63504285 0.7 7966.2 64
42 1844.5946 216.624793 0.7 7966.2 64 5681.94665 7.37520728 0.7 7966.2 64
42.5 1830.11137 216.882556 0.7 7966.2 64 5704.56177 8.11744448 0.7 7966.2 64
43 1815.7408 217.138266 0.7 7966.2 64 5726.99615 8.86173358 0.7 7966.2 64
43.5 1801.48214 217.391946 0.7 7966.2 64 5749.24625 9.60805376 0.7 7966.2 64
44 1787.33466 217.643616 0.7 7966.2 64 5771.30856 10.3563843 0.7 7966.2 64
44.5 1773.2976 217.893295 0.7 7966.2 64 5793.17958 11.1067046 0.7 7966.2 64
45 1759.37021 218.141006 0.7 7966.2 64 5814.85584 11.8589942 0.7 7966.2 64
45.5 1745.55174 218.386767 0.7 7966.2 64 5836.33387 12.6132326 0.7 7966.2 64
46 1731.84144 218.630601 0.7 7966.2 64 5857.61025 13.3693994 0.7 7966.2 64
46.5 1718.23855 218.872525 0.7 7966.2 64 5878.68156 14.1274746 0.7 7966.2 64
47 1704.74233 219.112562 0.7 7966.2 64 5899.54441 14.8874379 0.7 7966.2 64
47.5 1691.352 219.350731 0.7 7966.2 64 5920.19545 15.6492694 0.7 7966.2 64
48 1678.06683 219.587051 0.7 7966.2 64 5940.63133 16.4129493 0.7 7966.2 64
48.5 1664.88606 219.821542 0.7 7966.2 64 5960.84873 17.1784576 0.7 7966.2 64
49 1651.80893 220.054225 0.7 7966.2 64 5980.84436 17.9457749 0.7 7966.2 64
49.5 1638.83469 220.285118 0.7 7966.2 64 6000.61497 18.7148816 0.7 7966.2 64
50 1625.9626 220.514242 0.7 7966.2 64 6020.15731 19.4857582 0.7 7966.2 64
50.5 1613.19191 220.741614 0.7 7966.2 64 6039.46816 20.2583856 0.7 7966.2 64
51 1600.52186 220.967255 0.7 7966.2 64 6058.54434 21.0327446 0.7 7966.2 64
51.5 1587.95172 221.191184 0.7 7966.2 64 6077.38269 21.8088161 0.7 7966.2 64
52 1575.48073 221.413419 0.7 7966.2 64 6095.98009 22.5865813 0.7 7966.2 64
52.5 1563.10818 221.633979 0.7 7966.2 64 6114.33342 23.3660215 0.7 7966.2 64
53 1550.8333 221.852882 0.7 7966.2 64 6132.43962 24.1471179 0.7 7966.2 64
53.5 1538.65539 222.070148 0.7 7966.2 64 6150.29564 24.9298523 0.7 7966.2 64
54 1526.57369 222.285794 0.7 7966.2 64 6167.89845 25.7142062 0.7 7966.2 64
54.5 1514.58749 222.499839 0.7 7966.2 64 6185.24509 26.5001613 0.7 7966.2 64
55 1502.69607 222.7123 0.7 7966.2 64 6202.33259 27.2876997 0.7 7966.2 64
55.5 1490.89869 222.923197 0.7 7966.2 64 6219.15802 28.0768035 0.7 7966.2 64
56 1479.19466 223.132545 0.7 7966.2 64 6235.71849 28.8674547 0.7 7966.2 64
56.5 1467.58326 223.340364 0.7 7966.2 64 6252.01113 29.6596359 0.7 7966.2 64
57 1456.06378 223.546671 0.7 7966.2 64 6268.03312 30.4533294 0.7 7966.2 64
57.5 1444.63551 223.751482 0.7 7966.2 64 6283.78164 31.2485179 0.7 7966.2 64
58 1433.29777 223.954816 0.7 7966.2 64 6299.25394 32.0451843 0.7 7966.2 64
58.5 1422.04986 224.156689 0.7 7966.2 64 6314.44728 32.8433114 0.7 7966.2 64
59 1410.89109 224.357118 0.7 7966.2 64 6329.35894 33.6428822 0.7 7966.2 64
59.5 1399.82078 224.55612 0.7 7966.2 64 6343.98626 34.44388 0.7 7966.2 64
60 1388.83825 224.753712 0.7 7966.2 64 6358.32661 35.2462882 0.7 7966.2 64
60.5 1377.94282 224.94991 0.7 7966.2 64 6372.37736 36.0500902 0.7 7966.2 64
61 1367.13384 225.14473 0.7 7966.2 64 6386.13596 36.8552696 0.7 7966.2 64
61.5 1356.41063 225.33819 0.7 7966.2 64 6399.59987 37.6618103 0.7 7966.2 64
62 1345.77255 225.530304 0.7 7966.2 64 6412.76657 38.4696961 0.7 7966.2 64
62.5 1335.21893 225.721089 0.7 7966.2 64 6425.63361 39.2789112 0.7 7966.2 64
63 1324.74914 225.91056 0.7 7966.2 64 6438.19854 40.0894396 0.7 7966.2 64
63.5 1314.36253 226.098734 0.7 7966.2 64 6450.45897 40.9012657 0.7 7966.2 64
64 1304.05848 226.285626 0.7 7966.2 64 6462.41252 41.714374 0.7 7966.2 64
64.5 1293.83635 226.471251 0.7 7966.2 64 6474.05687 42.5287492 0.7 7966.2 64
65 1283.69552 226.655624 0.7 7966.2 64 6485.38973 43.3443759 0.7 7966.2 64
65.5 1273.63537 226.838761 0.7 7966.2 64 6496.40882 44.1612392 0.7 7966.2 64
66 1263.6553 227.020676 0.7 7966.2 64 6507.11194 44.9793238 0.7 7966.2 64
66.5 1253.75469 227.201385 0.7 7966.2 64 6517.49688 45.7986152 0.7 7966.2 64
67 1243.93296 227.380901 0.7 7966.2 64 6527.56149 46.6190985 0.7 7966.2 64
67.5 1234.18951 227.559241 0.7 7966.2 64 6537.30367 47.4407592 0.7 7966.2 64
68 1224.52375 227.736417 0.7 7966.2 64 6546.72132 48.2635828 0.7 7966.2 64
68.5 1214.9351 227.912445 0.7 7966.2 64 6555.81241 49.0875551 0.7 7966.2 64
69 1205.423 228.087338 0.7 7966.2 64 6564.57492 49.9126619 0.7 7966.2 64
69.5 1195.98686 228.261111 0.7 7966.2 64 6573.00688 50.7388891 0.7 7966.2 64
70 1186.62614 228.433777 0.7 7966.2 64 6581.10637 51.5662229 0.7 7966.2 64
70.5 1177.34028 228.605351 0.7 7966.2 64 6588.87147 52.3946494 0.7 7966.2 64
71 1168.12872 228.775845 0.7 7966.2 64 6596.30034 53.224155 0.7 7966.2 64
71.5 1158.99093 228.945274 0.7 7966.2 64 6603.39114 54.0547261 0.7 7966.2 64
72 1149.92637 229.113651 0.7 7966.2 64 6610.1421 54.8863494 0.7 7966.2 64
72.5 1140.93451 229.280988 0.7 7966.2 64 6616.55146 55.7190116 0.7 7966.2 64
73 1132.01482 229.447301 0.7 7966.2 64 6622.6175 56.5526995 0.7 7966.2 64
73.5 1123.1668 229.6126 0.7 7966.2 64 6628.33857 57.3874001 0.7 7966.2 64
74 1114.38993 229.7769 0.7 7966.2 64 6633.71301 58.2231004 0.7 7966.2 64
74.5 1105.6837 229.940212 0.7 7966.2 64 6638.73924 59.0597876 0.7 7966.2 64
75 1097.04763 230.102551 0.7 7966.2 64 6643.41569 59.8974491 0.7 7966.2 64
75.5 1088.4812 230.263928 0.7 7966.2 64 6647.74083 60.7360724 0.7 7966.2 64
