nu dvA wA eA rpA iA dvB wB eB rpB iB
42.5 247.865789 270 0.697487533 8032.91605 63.434 nan nan nan nan nan
43 247.522573 270 0.697403312 8035.15245 63.434 nan nan nan nan nan
43.5 247.177288 270 0.697318809 8037.39636 63.434 nan nan nan nan nan
44 246.829955 270 0.697234017 8039.64791 63.434 nan nan nan nan nan
44.5 246.480594 270 0.697148933 8041.90723 63.434 nan nan nan nan nan
45 246.129225 270 0.697063551 8044.17446 63.434 nan nan nan nan nan
45.5 245.775869 270 0.696977866 8046.44975 63.434 nan nan nan nan nan
46 245.420546 270 0.696891872 8048.73323 63.434 nan nan nan nan nan
46.5 245.063278 270 0.696805564 8051.02505 63.434 nan nan nan nan nan
47 244.704086 270 0.696718937 8053.32534 63.434 nan nan nan nan nan
47.5 244.342993 270 0.696631985 8055.63427 63.434 nan nan nan nan nan
48 243.98002 270 0.696544703 8057.95197 63.434 nan nan nan nan nan
48.5 243.615191 270 0.696457084 8060.2786 63.434 nan nan nan nan nan
49 243.248527 270 0.696369123 8062.6143 63.434 nan nan nan nan nan
49.5 242.880053 270 0.696280815 8064.95924 63.434 nan nan nan nan nan
50 242.509793 270 0.696192153 8067.31357 63.434 nan nan nan nan nan
50.5 242.13777 270 0.696103131 8069.67745 63.434 nan nan nan nan nan
51 241.764008 270 0.696013744 8072.05105 63.434 nan nan nan nan nan
51.5 241.388533 270 0.695923985 8074.43451 63.434 nan nan nan nan nan
52 241.011371 270 0.695833847 8076.82802 63.434 nan nan nan nan nan
52.5 240.632545 270 0.695743325 8079.23174 63.434 nan nan nan nan nan
53 240.252084 270 0.695652413 8081.64583 63.434 nan nan nan nan nan
53.5 239.870012 270 0.695561103 8084.07048 63.434 nan nan nan nan nan
54 239.486358 270 0.695469388 8086.50586 63.434 nan nan nan nan nan
54.5 239.101148 270 0.695377264 8088.95214 63.434 nan nan nan nan nan
55 238.71441 270 0.695284721 8091.40952 63.434 nan nan nan nan nan
55.5 238.326172 270 0.695191754 8093.87817 63.434 nan nan nan nan nan
56 237.936463 270 0.695098355 8096.35828 63.434 nan nan nan nan nan
56.5 237.545312 270 0.695004518 8098.85003 63.434 nan nan nan nan nan
57 237.152748 270 0.694910234 8101.35364 63.434 nan nan nan nan nan
57.5 236.758802 270 0.694815498 8103.86927 63.434 nan nan nan nan nan
58 236.363504 270 0.6947203 8106.39715 63.434 nan nan nan nan nan
58.5 235.966885 270 0.694624634 8108.93747 63.434 nan nan nan nan nan
59 235.568977 270 0.694528492 8111.49043 63.434 nan nan nan nan nan
59.5 235.169811 270 0.694431865 8114.05625 63.434 nan nan nan nan nan
60 234.769421 270 0.694334747 8116.63513 63.434 nan nan nan nan nan
60.5 234.367838 270 0.694237128 8119.22729 63.434 nan nan nan nan nan
61 233.965098 270 0.694139001 8121.83296 63.434 nan nan nan nan nan
61.5 233.561233 270 0.694040357 8124.45235 63.434 nan nan nan nan nan
62 233.15628 270 0.693941188 8127.0857 63.434 nan nan nan nan nan
62.5 232.750272 270 0.693841484 8129.73322 63.434 nan nan nan nan nan
63 232.343246 270 0.693741238 8132.39517 63.434 nan nan nan nan nan
63.5 231.935239 270 0.69364044 8135.07177 63.434 nan nan nan nan nan
64 231.526288 270 0.69353908 8137.76327 63.434 nan nan nan nan nan
64.5 231.116429 270 0.69343715 8140.46991 63.434 nan nan nan nan nan
65 230.705703 270 0.69333464 8143.19196 63.434 nan nan nan nan nan
65.5 230.294147 270 0.693231541 8145.92966 63.434 nan nan nan nan nan
66 229.881801 270 0.693127842 8148.68328 63.434 nan nan nan nan nan
66.5 229.468707 270 0.693023534 8151.45308 63.434 nan nan nan nan nan
67 229.054904 270 0.692918606 8154.23934 63.434 nan nan nan nan nan
67.5 228.640435 270 0.692813048 8157.04232 63.434 nan nan nan nan nan
68 228.225342 270 0.69270685 8159.86231 63.434 nan nan nan nan nan
68.5 227.809669 270 0.6926 8162.6996 63.434 nan nan nan nan nan
69 227.39346 270 0.692492488 8165.55448 63.434 nan nan nan nan nan
69.5 226.976759 270 0.692384302 8168.42724 63.434 nan nan nan nan nan
70 226.559611 270 0.692275431 8171.31819 63.434 nan nan nan nan nan
70.5 226.142065 270 0.692165864 8174.22764 63.434 nan nan nan nan nan
71 225.724166 270 0.692055589 8177.1559 63.434 nan nan nan nan nan
71.5 225.305964 270 0.691944592 8180.10329 63.434 nan nan nan nan nan
72 224.887506 270 0.691832863 8183.07015 63.434 nan nan nan nan nan
72.5 224.468844 270 0.691720389 8186.05679 63.434 nan nan nan nan nan
73 224.050027 270 0.691607156 8189.06358 63.434 nan nan nan nan nan
73.5 223.631108 270 0.691493152 8192.09084 63.434 nan nan nan nan nan
74 223.21214 270 0.691378363 8195.13895 63.434 nan nan nan nan nan
74.5 222.793176 270 0.691262776 8198.20825 63.434 nan nan nan nan nan
75 222.374272 270 0.691146376 8201.29912 63.434 nan nan nan nan nan
75.5 221.955483 270 0.69102915 8204.41195 63.434 nan nan nan nan nan
76 221.536867 270 0.690911083 8207.5471 63.434 nan nan nan nan nan
76.5 221.11848 270 0.69079216 8210.70498 63.434 nan nan nan nan nan
77 220.700384 270 0.690672366 8213.88599 63.434 nan nan nan nan nan
77.5 220.282638 270 0.690551686 8217.09054 63.434 nan nan nan nan nan
78 219.865303 270 0.690430103 8220.31904 63.434 nan nan nan nan nan
78.5 219.448444 270 0.690307602 8223.57194 63.434 nan nan nan nan nan
79 219.032123 270 0.690184166 8226.84966 63.434 nan nan nan nan nan
79.5 218.616408 270 0.690059778 8230.15265 63.434 nan nan nan nan nan
80 218.201363 270 0.689934421 8233.48137 63.434 nan nan nan nan nan
80.5 217.787059 270 0.689808078 8236.8363 63.434 nan nan nan nan nan
81 217.373564 270 0.68968073 8240.21791 63.434 nan nan nan nan nan
81.5 216.960949 270 0.689552358 8243.62668 63.434 nan nan nan nan nan
82 216.549288 270 0.689422945 8247.06313 63.434 nan nan nan nan nan
82.5 216.138655 270 0.68929247 8250.52776 63.434 nan nan nan nan nan
83 215.729126 270 0.689160914 8254.0211 63.434 nan nan nan nan nan
83.5 215.320778 270 0.689028256 8257.54369 63.434 nan nan nan nan nan
84 214.913691 270 0.688894476 8261.09607 63.434 nan nan nan nan nan
84.5 214.507945 270 0.688759553 8264.67882 63.434 nan nan nan nan nan
85 214.103625 270 0.688623465 8268.29251 63.434 nan nan nan nan nan
85.5 213.700813 270 0.688486189 8271.93773 63.434 nan nan nan nan nan
86 213.299598 270 0.688347704 8275.61508 63.434 nan nan nan nan nan
86.5 212.900069 270 0.688207984 8279.32519 63.434 nan nan nan nan nan
87 212.502315 270 0.688067007 8283.0687 63.434 nan nan nan nan nan
87.5 212.10643 270 0.687924748 8286.84625 63.434 nan nan nan nan nan
88 211.71251 270 0.687781181 8290.65852 63.434 nan nan nan nan nan
88.5 211.320652 270 0.687636281 8294.50619 63.434 nan nan nan nan nan
89 210.930955 270 0.687490021 8298.38997 63.434 nan nan nan nan nan
89.5 210.543523 270 0.687342375 8302.31058 63.434 nan nan nan nan nan
90 210.15846 270 0.687193313 8306.26876 63.434 nan nan nan nan nan
90.5 209.775874 270 0.687042808 8310.26528 63.434 nan nan nan nan nan
91 209.395875 270 0.68689083 8314.3009 63.434 nan nan nan nan nan
91.5 209.018576 270 0.686737348 8318.37645 63.434 nan nan nan nan nan
92 208.644094 270 0.686582333 8322.49274 63.434 nan nan nan nan nan
92.5 208.272546 270 0.686425751 8326.65062 63.434 nan nan nan nan nan
93 207.904057 270 0.68626757 8330.85096 63.434 nan nan nan nan nan
93.5 207.538751 270 0.686107756 8335.09465 63.434 nan nan nan nan nan
94 207.176756 270 0.685946275 8339.38262 63.434 nan nan nan nan nan
94.5 206.818207 270 0.685783091 8343.71581 63.434 nan nan nan nan nan
95 206.463237 270 0.685618167 8348.09519 63.434 nan nan nan nan nan
95.5 206.111988 270 0.685451466 8352.52178 63.434 nan nan nan nan nan
96 205.764603 270 0.685282948 8356.99659 63.434 nan nan nan nan nan
96.5 205.42123 270 0.685112575 8361.52069 63.434 nan nan nan nan nan
97 205.082021 270 0.684940304 8366.09517 63.434 nan nan nan nan nan
97.5 204.747133 270 0.684766093 8370.72116 63.434 nan nan nan nan nan
98 204.416726 270 0.684589899 8375.39981 63.434 nan nan nan nan nan
98.5 204.090966 270 0.684411677 8380.13233 63.434 nan nan nan nan nan
99 203.770026 270 0.68423138 8384.91994 63.434 nan nan nan nan nan
99.5 203.454079 270 0.68404896 8389.76392 63.434 nan nan nan nan nan
100 203.143308 270 0.683864368 8394.66558 63.434 nan nan nan nan nan
100.5 202.837901 270 0.683677553 8399.62626 63.434 nan nan nan nan nan
101 202.538049 270 0.683488463 8404.64736 63.434 nan nan nan nan nan
101.5 202.243953 270 0.683297043 8409.73033 63.434 nan nan nan nan nan
102 201.955817 270 0.683103237 8414.87664 63.434 nan nan nan nan nan
102.5 201.673854 270 0.682906988 8420.08785 63.434 nan nan nan nan nan
103 201.398284 270 0.682708235 8425.36553 63.434 nan nan nan nan nan
103.5 201.129331 270 0.682506917 8430.71133 63.434 nan nan nan nan nan
104 200.867232 270 0.68230297 8436.12694 63.434 nan nan nan nan nan
104.5 200.612227 270 0.682096327 8441.61413 63.434 nan nan nan nan nan
105 200.364567 270 0.681886921 8447.1747 63.434 nan nan nan nan nan
105.5 200.124512 270 0.68167468 8452.81055 63.434 nan nan nan nan nan
106 199.89233 270 0.681459531 8458.52361 63.434 nan nan nan nan nan
106.5 199.668299 270 0.681241398 8464.31591 63.434 nan nan nan nan nan
107 199.452706 270 0.681020203 8470.18954 63.434 nan nan nan nan nan
107.5 199.245851 270 0.680795863 8476.14666 63.434 nan nan nan nan nan
108 199.048043 270 0.680568294 8482.18952 63.434 nan nan nan nan nan
108.5 198.859604 270 0.680337408 8488.32047 63.434 nan nan nan nan nan
109 198.680868 270 0.680103114 8494.54191 63.434 nan nan nan nan nan
109.5 198.51218 270 0.679865317 8500.85637 63.434 nan nan nan nan nan
110 198.353902 270 0.679623919 8507.26645 63.434 nan nan nan nan nan
110.5 198.206406 270 0.679378817 8513.77488 63.434 nan nan nan nan nan
111 198.070084 270 0.679129906 8520.38448 63.434 nan nan nan nan nan
111.5 197.94534 270 0.678877074 8527.09818 63.434 nan nan nan nan nan
112 197.832597 270 0.678620206 8533.91904 63.434 nan nan nan nan nan
112.5 197.732293 270 0.678359183 8540.85026 63.434 nan nan nan nan nan
113 197.644888 270 0.678093879 8547.89513 63.434 nan nan nan nan nan
113.5 197.570859 270 0.677824165 8555.05713 63.434 nan nan nan nan nan
114 197.510706 270 0.677549904 8562.33986 63.434 nan nan nan nan nan
114.5 197.464948 270 0.677270954 8569.74708 63.434 nan nan nan nan nan
115 197.434132 270 0.676987169 8577.28272 63.434 nan nan nan nan nan
115.5 197.418824 270 0.676698392 8584.95089 63.434 nan nan nan nan nan
116 197.419622 270 0.676404464 8592.75587 63.434 nan nan nan nan nan
116.5 197.437148 270 0.676105213 8600.70216 63.434 nan nan nan nan nan
117 197.472055 270 0.675800465 8608.79446 63.434 nan nan nan nan nan
117.5 197.525028 270 0.675490033 8617.03767 63.434 nan nan nan nan nan
118 197.596784 270 0.675173723 8625.43695 63.434 nan nan nan nan nan
118.5 197.688076 270 0.674851332 8633.99772 63.434 nan nan nan nan nan
