nu dvA wA eA rpA iA dvB wB eB rpB iB
28.5 2305.50562 207.487895 0.7 7966.2 63.6293237 5027.64544 346.863946 0.7 7966.2 63.6293237
29 2287.88979 207.808545 0.7 7966.2 63.6054044 5053.68203 347.54217 0.7 7966.2 63.6054044
29.5 2270.4074 208.126566 0.7 7966.2 63.5814288 5079.64005 348.223021 0.7 7966.2 63.5814288
30 2253.05805 208.441979 0.7 7966.2 63.5573931 5105.51572 348.906477 0.7 7966.2 63.5573931
30.5 2235.84131 208.754805 0.7 7966.2 63.5332934 5131.30522 349.592517 0.7 7966.2 63.5332934
31 2218.75675 209.065064 0.7 7966.2 63.5091258 5157.00477 350.28112 0.7 7966.2 63.5091258
31.5 2201.80392 209.372779 0.7 7966.2 63.4848862 5182.61055 350.972264 0.7 7966.2 63.4848862
32 2184.98235 209.67797 0.7 7966.2 63.4605707 5208.11876 351.665929 0.7 7966.2 63.4605707
32.5 2168.29157 209.980659 0.7 7966.2 63.4361752 5233.52561 352.362092 0.7 7966.2 63.4361752
33 2151.73107 210.280867 0.7 7966.2 63.4116955 5258.8273 353.060731 0.7 7966.2 63.4116955
33.5 2135.30037 210.578616 0.7 7966.2 63.3871275 5284.02005 353.761827 0.7 7966.2 63.3871275
34 2118.99894 210.873926 0.7 7966.2 63.362467 5309.10005 354.465356 0.7 7966.2 63.362467
34.5 2102.82626 211.16682 0.7 7966.2 63.3377096 5334.06355 355.171297 0.7 7966.2 63.3377096
35 2086.7818 211.457318 0.7 7966.2 63.3128511 5358.90675 355.879628 0.7 7966.2 63.3128511
35.5 2070.86501 211.745443 0.7 7966.2 63.2878869 5383.62589 356.590329 0.7 7966.2 63.2878869
36 2055.07535 212.031215 0.7 7966.2 63.2628126 5408.21723 357.303377 0.7 7966.2 63.2628126
36.5 2039.41226 212.314656 0.7 7966.2 63.2376237 5432.677 358.01875 0.7 7966.2 63.2376237
37 2023.87518 212.595788 0.7 7966.2 63.2123154 5457.00148 358.736427 0.7 7966.2 63.2123154
37.5 2008.46354 212.874631 0.7 7966.2 63.1868832 5481.18693 359.456386 0.7 7966.2 63.1868832
38 1993.17676 213.151208 0.7 7966.2 63.161322 5505.22964 0.178606597 0.7 7966.2 63.161322
38.5 1978.01428 213.425539 0.7 7966.2 63.1356271 5529.12591 0.903066004 0.7 7966.2 63.1356271
39 1962.97549 213.697646 0.7 7966.2 63.1097935 5552.87206 1.62974309 0.7 7966.2 63.1097935
39.5 1948.05984 213.96755 0.7 7966.2 63.0838161 5576.4644 2.3586164 0.7 7966.2 63.0838161
40 1933.26671 214.235272 0.7 7966.2 63.0576897 5599.89928 3.0896645 0.7 7966.2 63.0576897
40.5 1918.59554 214.500834 0.7 7966.2 63.0314091 5623.17305 3.82286604 0.7 7966.2 63.0314091
41 1904.04573 214.764255 0.7 7966.2 63.0049687 5646.2821 4.5581997 0.7 7966.2 63.0049687
41.5 1889.61669 215.025559 0.7 7966.2 62.9783632 5669.2228 5.29564425 0.7 7966.2 62.9783632
42 1875.30784 215.284764 0.7 7966.2 62.9515868 5691.99156 6.03517851 0.7 7966.2 62.9515868
42.5 1861.11858 215.541892 0.7 7966.2 62.9246338 5714.58482 6.77678139 0.7 7966.2 62.9246338
43 1847.04834 215.796965 0.7 7966.2 62.8974984 5736.99902 7.52043186 0.7 7966.2 62.8974984
43.5 1833.09653 216.050001 0.7 7966.2 62.8701745 5759.23063 8.26610898 0.7 7966.2 62.8701745
44 1819.26258 216.301023 0.7 7966.2 62.8426559 5781.27613 9.01379189 0.7 7966.2 62.8426559
44.5 1805.5459 216.550051 0.7 7966.2 62.8149364 5803.13203 9.76345983 0.7 7966.2 62.8149364
45 1791.94594 216.797104 0.7 7966.2 62.7870095 5824.79486 10.5150921 0.7 7966.2 62.7870095
45.5 1778.46211 217.042203 0.7 7966.2 62.7588684 5846.26117 11.2686682 0.7 7966.2 62.7588684
46 1765.09387 217.285369 0.7 7966.2 62.7305066 5867.52754 12.0241676 0.7 7966.2 62.7305066
46.5 1751.84066 217.526621 0.7 7966.2 62.7019169 5888.59056 12.7815698 0.7 7966.2 62.7019169
47 1738.70194 217.765979 0.7 7966.2 62.6730922 5909.44687 13.5408548 0.7 7966.2 62.6730922
47.5 1725.67717 218.003463 0.7 7966.2 62.6440253 5930.09311 14.3020022 0.7 7966.2 62.6440253
48 1712.76581 218.239093 0.7 7966.2 62.6147085 5950.52594 15.064992 0.7 7966.2 62.6147085
48.5 1699.96735 218.472889 0.7 7966.2 62.5851341 5970.74208 15.8298043 0.7 7966.2 62.5851341
49 1687.28129 218.704869 0.7 7966.2 62.5552942 5990.73825 16.5964193 0.7 7966.2 62.5552942
49.5 1674.70711 218.935054 0.7 7966.2 62.5251805 6010.51119 17.3648172 0.7 7966.2 62.5251805
50 1662.24433 219.163462 0.7 7966.2 62.4947847 6030.0577 18.1349784 0.7 7966.2 62.4947847
50.5 1649.89248 219.390112 0.7 7966.2 62.4640981 6049.37457 18.9068835 0.7 7966.2 62.4640981
51 1637.65109 219.615024 0.7 7966.2 62.4331118 6068.45865 19.6805132 0.7 7966.2 62.4331118
51.5 1625.51972 219.838216 0.7 7966.2 62.4018165 6087.3068 20.4558481 0.7 7966.2 62.4018165
52 1613.49792 220.059707 0.7 7966.2 62.3702029 6105.91592 21.2328692 0.7 7966.2 62.3702029
52.5 1601.58527 220.279515 0.7 7966.2 62.3382611 6124.28293 22.0115575 0.7 7966.2 62.3382611
53 1589.78138 220.497658 0.7 7966.2 62.3059812 6142.40479 22.7918943 0.7 7966.2 62.3059812
53.5 1578.08586 220.714156 0.7 7966.2 62.2733527 6160.27848 23.5738606 0.7 7966.2 62.2733527
54 1566.49832 220.929026 0.7 7966.2 62.240365 6177.90103 24.357438 0.7 7966.2 62.240365
54.5 1555.01844 221.142285 0.7 7966.2 62.2070069 6195.26948 25.142608 0.7 7966.2 62.2070069
55 1543.64586 221.353953 0.7 7966.2 62.1732671 6212.38091 25.9293522 0.7 7966.2 62.1732671
55.5 1532.38028 221.564046 0.7 7966.2 62.1391337 6229.23245 26.7176525 0.7 7966.2 62.1391337
56 1521.22142 221.772581 0.7 7966.2 62.1045947 6245.82123 27.5074907 0.7 7966.2 62.1045947
56.5 1510.169 221.979577 0.7 7966.2 62.0696373 6262.14444 28.298849 0.7 7966.2 62.0696373
57 1499.22277 222.185051 0.7 7966.2 62.0342486 6278.19929 29.0917095 0.7 7966.2 62.0342486
57.5 1488.38253 222.389019 0.7 7966.2 61.998415 6293.98304 29.8860546 0.7 7966.2 61.998415
58 1477.64807 222.591498 0.7 7966.2 61.9621225 6309.49297 30.6818666 0.7 7966.2 61.9621225
58.5 1467.01924 222.792505 0.7 7966.2 61.9253567 6324.7264 31.4791282 0.7 7966.2 61.9253567
59 1456.49589 222.992058 0.7 7966.2 61.8881026 6339.68069 32.2778221 0.7 7966.2 61.8881026
59.5 1446.07791 223.190171 0.7 7966.2 61.8503447 6354.35322 33.0779311 0.7 7966.2 61.8503447
60 1435.76524 223.386862 0.7 7966.2 61.8120667 6368.74143 33.8794381 0.7 7966.2 61.8120667
60.5 1425.55782 223.582146 0.7 7966.2 61.773252 6382.84278 34.6823264 0.7 7966.2 61.773252
61 1415.45566 223.77604 0.7 7966.2 61.7338832 6396.65478 35.486579 0.7 7966.2 61.7338832
61.5 1405.45877 223.968559 0.7 7966.2 61.6939422 6410.17496 36.2921794 0.7 7966.2 61.6939422
62 1395.56723 224.159719 0.7 7966.2 61.6534104 6423.40091 37.0991111 0.7 7966.2 61.6534104
62.5 1385.78114 224.349535 0.7 7966.2 61.6122682 6436.33025 37.9073575 0.7 7966.2 61.6122682
63 1376.10066 224.538023 0.7 7966.2 61.5704954 6448.96063 38.7169024 0.7 7966.2 61.5704954
63.5 1366.52596 224.725198 0.7 7966.2 61.5280709 6461.28975 39.5277298 0.7 7966.2 61.5280709
64 1357.0573 224.911075 0.7 7966.2 61.4849727 6473.31535 40.3398234 0.7 7966.2 61.4849727
64.5 1347.69497 225.095669 0.7 7966.2 61.441178 6485.03521 41.1531675 0.7 7966.2 61.441178
65 1338.4393 225.278994 0.7 7966.2 61.3966631 6496.44714 41.9677462 0.7 7966.2 61.3966631
65.5 1329.29069 225.461065 0.7 7966.2 61.351403 6507.54902 42.7835437 0.7 7966.2 61.351403
66 1320.2496 225.641897 0.7 7966.2 61.305372 6518.33875 43.6005446 0.7 7966.2 61.305372
66.5 1311.31653 225.821503 0.7 7966.2 61.258543 6528.81427 44.4187334 0.7 7966.2 61.258543
67 1302.49208 225.999898 0.7 7966.2 61.2108878 6538.97358 45.2380946 0.7 7966.2 61.2108878
67.5 1293.77689 226.177095 0.7 7966.2 61.162377 6548.81471 46.058613 0.7 7966.2 61.162377
68 1285.17168 226.353108 0.7 7966.2 61.1129798 6558.33576 46.8802735 0.7 7966.2 61.1129798
68.5 1276.67724 226.527951 0.7 7966.2 61.062664 6567.53483 47.703061 0.7 7966.2 61.062664
69 1268.29446 226.701637 0.7 7966.2 61.011396 6576.41012 48.5269605 0.7 7966.2 61.011396
69.5 1260.02429 226.874179 0.7 7966.2 60.9591405 6584.95984 49.3519572 0.7 7966.2 60.9591405
70 1251.8678 227.04559 0.7 7966.2 60.9058607 6593.18227 50.1780362 0.7 7966.2 60.9058607
70.5 1243.82614 227.215884 0.7 7966.2 60.8515178 6601.07572 51.005183 0.7 7966.2 60.8515178
71 1235.90056 227.385073 0.7 7966.2 60.7960712 6608.63856 51.8333828 0.7 7966.2 60.7960712
71.5 1228.09244 227.553169 0.7 7966.2 60.7394785 6615.86923 52.6626211 0.7 7966.2 60.7394785
72 1220.40325 227.720185 0.7 7966.2 60.6816948 6622.76619 53.4928835 0.7 7966.2 60.6816948
72.5 1212.83461 227.886132 0.7 7966.2 60.6226733 6629.32798 54.3241556 0.7 7966.2 60.6226733
73 1205.38825 228.051024 0.7 7966.2 60.5623647 6635.55317 55.156423 0.7 7966.2 60.5623647
73.5 1198.06607 228.214871 0.7 7966.2 60.5007169 6641.44042 55.9896715 0.7 7966.2 60.5007169
74 1190.8701 228.377686 0.7 7966.2 60.4376752 6646.98842 56.8238869 0.7 7966.2 60.4376752
74.5 1183.80255 228.53948 0.7 7966.2 60.3731823 6652.19593 57.659055 0.7 7966.2 60.3731823
75 1176.86579 228.700263 0.7 7966.2 60.3071772 6657.06178 58.4951617 0.7 7966.2 60.3071772
75.5 1170.06239 228.860048 0.7 7966.2 60.239596 6661.58486 59.3321929 0.7 7966.2 60.239596
76 1163.39512 229.018845 0.7 7966.2 60.170371 6665.76411 60.1701345 0.7 7966.2 60.170371
76.5 1156.86696 229.176664 0.7 7966.2 60.0994309 6669.59856 61.0089726 0.7 7966.2 60.0994309
77 1150.48113 229.333517 0.7 7966.2 60.0267 6673.08731 61.848693 0.7 7966.2 60.0267
77.5 1144.2411 229.489413 0.7 7966.2 59.9520985 6676.22953 62.6892818 0.7 7966.2 59.9520985
78 1138.15061 229.644362 0.7 7966.2 59.8755417 6679.02445 63.530725 0.7 7966.2 59.8755417
78.5 1132.2137 229.798374 0.7 7966.2 59.7969399 6681.47142 64.3730085 0.7 7966.2 59.7969399
79 1126.43471 229.951459 0.7 7966.2 59.7161978 6683.56984 65.2161182 0.7 7966.2 59.7161978
79.5 1120.81835 230.103626 0.7 7966.2 59.6332143 6685.31921 66.0600401 0.7 7966.2 59.6332143
80 1115.36967 230.254884 0.7 7966.2 59.5478821 6686.71914 66.9047601 0.7 7966.2 59.5478821
80.5 1110.09414 230.405242 0.7 7966.2 59.4600867 6687.76933 67.7502638 0.7 7966.2 59.4600867
81 1104.99766 230.554708 0.7 7966.2 59.3697064 6688.46957 68.596537 0.7 7966.2 59.3697064
81.5 1100.08661 230.703291 0.7 7966.2 59.2766114 6688.81978 69.4435654 0.7 7966.2 59.2766114
82 1095.36789 230.850998 0.7 7966.2 59.1806633 6688.82 70.2913344 0.7 7966.2 59.1806633
82.5 1090.84894 230.997838 0.7 7966.2 59.081714 6688.4704 71.1398295 0.7 7966.2 59.081714
83 1086.53785 231.143817 0.7 7966.2 58.9796055 6687.77128 71.9890358 0.7 7966.2 58.9796055
83.5 1082.44336 231.288942 0.7 7966.2 58.8741682 6686.72308 72.8389384 0.7 7966.2 58.8741682
84 1078.57493 231.433221 0.7 7966.2 58.7652206 6685.32642 73.6895221 0.7 7966.2 58.7652206
84.5 1074.94286 231.576658 0.7 7966.2 58.6525677 6683.58209 74.5407716 0.7 7966.2 58.6525677
85 1071.5583 231.71926 0.7 7966.2 58.5360003 6681.49104 75.3926711 0.7 7966.2 58.5360003
85.5 1068.43339 231.861032 0.7 7966.2 58.4152928 6679.05446 76.2452049 0.7 7966.2 58.4152928
86 1065.58133 232.001979 0.7 7966.2 58.2902025 6676.27374 77.0983565 0.7 7966.2 58.2902025
86.5 1063.0165 232.142105 0.7 7966.2 58.1604675 6673.15053 77.9521093 0.7 7966.2 58.1604675
87 1060.75457 232.281413 0.7 7966.2 58.0258046 6669.68674 78.8064463 0.7 7966.2 58.0258046
87.5 1058.81267 232.419907 0.7 7966.2 57.8859075 6665.88459 79.6613499 0.7 7966.2 57.8859075
88 1057.20949 232.557589 0.7 7966.2 57.7404441 6661.74662 80.516802 0.7 7966.2 57.7404441
88.5 1055.96552 232.69446 0.7 7966.2 57.589054 6657.27573 81.3727838 0.7 7966.2 57.589054
89 1055.10318 232.830522 0.7 7966.2 57.4313451 6652.47526 82.229276 0.7 7966.2 57.4313451
89.5 1054.64711 232.965773 0.7 7966.2 57.2668904 6647.34898 83.0862585 0.7 7966.2 57.2668904
90 1054.62438 233.100214 0.7 7966.2 57.0952238 6641.90119 83.9437101 0.7 7966.2 57.0952238
90.5 1055.06479 233.233841 0.7 7966.2 56.9158355 6636.13678 84.8016089 0.7 7966.2 56.9158355
91 1056.0012 233.366651 0.7 7966.2 56.7281672 6630.06129 85.6599318 0.7 7966.2 56.7281672
91.5 1057.46993 233.498639 0.7 7966.2 56.5316058 6623.68102 86.5186543 0.7 7966.2 56.5316058
92 1059.51116 233.629799 0.7 7966.2 56.3254765 6617.00313 87.3777508 0.7 7966.2 56.3254765
92.5 1062.16946 233.760122 0.7 7966.2 56.1090352 6610.03577 88.2371937 0.7 7966.2 56.1090352
93 1065.49433 233.889599 0.7 7966.2 55.8814596 6602.7882 89.0969539 0.7 7966.2 55.8814596
93.5 1069.54092 234.018217 0.7 7966.2 55.6418379 6595.27101 89.957 0.7 7966.2 55.6418379
94 1074.37076 234.145962 0.7 7966.2 55.3891574 6587.49633 90.8172982 0.7 7966.2 55.3891574
94.5 1080.0527 234.272815 0.7 7966.2 55.1222895 6579.47802 91.6778121 0.7 7966.2 55.1222895
95 1086.66393 234.398755 0.7 7966.2 54.8399733 6571.23204 92.538502 0.7 7966.2 54.8399733
95.5 1094.29127 234.523759 0.7 7966.2 54.5407953 6562.77681 93.3993245 0.7 7966.2 54.5407953
96 1103.0326 234.647797 0.7 7966.2 54.2231664 6554.13361 94.2602322 0.7 7966.2 54.2231664
96.5 1112.99861 234.770835 0.7 7966.2 53.885294 6545.32717 95.1211726 0.7 7966.2 53.885294
97 1124.31489 234.892833 0.7 7966.2 53.5251482 6536.38633 95.9820873 0.7 7966.2 53.5251482
97.5 1137.12436 235.013745 0.7 7966.2 53.1404224 6527.34486 96.8429115 0.7 7966.2 53.1404224
98 1151.59028 235.133516 0.7 7966.2 52.7284849 6518.24247 97.7035721 0.7 7966.2 52.7284849
98.5 1167.8998 235.252081 0.7 7966.2 52.2863206 6509.12614 98.5639867 0.7 7966.2 52.2863206
